account,amount
32T9i9X6nzpChFPr9HNc9pAnS8wbj9VShTwh3G5Xk6t6sVwak8,1581686906
3VdvAdqcpCktWCwkbwKELRt5aLqxKH2d7xwJxWDnRitf25yrkz,1336234
4ozNdY4ZiyGfXVaEP2HSqVbPkkDcF1yMDbJeAB3yJnbyQza9bx,1662440022
3f2wXtK3QyyLhGr2ov5hnkVuBApguVjivQdGVwdepix1V6SDtj,2000000277
3qm7QzSJ62Md9o7bHiysuVuBKhqBnXCQK3zp8aGE2GNGyawCsb,1357691700
3HWzjdDFogoTbsWyZPv3DHbsJEnjxP2ywvuU9NoFKAGXae7AHu,2000000277
43A45q6ohC5tsZ9nTZ7T5EniADtzgFBBYPE9A41Mjeq1vz2hev,98009991480
39LTf9smKaJXrpXcTCH88dpS5swqddeQHVwwkESMkHciYrsiXE,0
3m9X8iHyMaXh513EwYRUDM9xzjPtQH7VuqY1pfGkR1JwW7eiED,1486663
3YrVFvVNY66iSKCSuQSFx5MGupZMLYSY64N271EMPFHGM5npVA,348971791
34JPgEkTsYpQASxC4bnmKs4kweinupoANsV44hu65wZPE7wtSb,45441329340
4MYst6f5Po3jznQi8RS3MXfbv2Tr8nX3UmReycHoVkxPHvUk3Q,351242246
4debpm2f5Ea324aGo1q547fhLrLEDXFkQwRxWZkcReq8UkSmLP,0
3vXM9N9E4MdkveUJtrKwB8zkUyBDZPxQtJic9GyLhwjkoFK3da,1211065713
4XKKdPoSSNvqBq3Gm8uesR1Ms9NCbeeYHhpUUhAwfgn9ZJzFv1,0
3KjtGxWS1bovsgeT64Nhc69rZ1HfMM9AeMno4EZwqrKkeQBNT6,0
4MyVHYbRkAU6fqQsoSDzni6mrVz1KEvhDJoMVmDmrCgPBD8b7S,15215921
3DyC6A9aBMPYh6xtDoQQUTiZ4dw8CziYqeLMxKBC4SkcQavioo,2099295629
4phD1qaS3U1nLrzJcgYyiPq1k8aV1wAjTjYVPE3JaqovViXS4j,3900986969
3ku5o9p1hCSRfb8tV2xfVkL9ffkZwvzyxMV7XyjEXgoB7tLc1b,0
3jZXK2QFmDm2cB7Uqa3sSC25XeYtBPirZhJumS7ZrN1HvGkyNh,0
3MYuoqv57w18Ltioc8U5xRNkC1eGNuL9PpjjpGuVAbtRs1Cmio,0
3UzsxvfFXAUWJ8YvqVYHvSiAK9C8CfBXifagnkzDKyhfmqcqQ9,0
3Cm5mgGBEK1bEkFBwp64rkF9ECJxAjrd3ahK5VKmi8DrwXE2R9,0
3GfWmifNJ6XB9n5dqxNmYrp3PnsVGYCHnC5bhKY2ANguq71MaA,0
3J1VmkAypAyCTbBFQdLfu5q9uwhdk2XXzuqwSc2Wkt7muLqEgm,0
3A43qoEaxSc8w8LTyE1puwafm2tf9vamkUvghYYZoDA8Mv77En,0
3n9KVRdr8Z6afa7yySeFGSMF2tH3hHXpsmEMeXx7NMhpCGhjMR,0
3fc5G7kv6fATuNynPgwfPapDw1CD9MsiBFUPFSPpKWnvX7sh5X,252112398
4p9tCGDMZhKuNK7My5g5qM4YPjGiFb2KnRzbn64GNzCfYnZ7PV,1495490158
3G5srtaeRvy2uzyaiheY3ZZ6nqTkDg1kRm59xWVnFo8CoEiZ6Y,1001756274352
4sFiH54wbnUt318FThniVoq8rKagF4CG2hxaF8VDmdAQQhxUou,826045894
4UHnxEgPyrd65WCS2brkRPak7QuNurLpg7AQyJV6oLRPFtXWMs,1987903852
